169,13,Berlin,0,Freiburg,0,,20-12-2020,21:30 20/12
170,22,Stuttgart,0,FC Koeln,0,,20-02-2021,21:30 20/02
171,22,Munich,0,E.Frankfurt,0,Commerzbank-Arena,20-02-2021,21:30 20/02
172,24,Mainz 05,0,Schalke 04,0,Veltins-Arena,6/3/2021,6/3/2020 21:30
173,24,Wolfsburg,0,Hoffenheim,0,WIRSOL Rhein-Neckar-Arena,6/3/2021,6/3/2020 21:30
174,10,Stuttgart,0,Bremen,0,Weserstadion,6/12/2020,6/12/2020 21:30
175,23,E.Frankfurt,0,Bremen,0,Weserstadion,27-02-2021,21:30 27/02
176,18,Stuttgart,0,Freiburg,0,,23-01-2021,21:30 23/01
177,19,Leverkusen,0,Leipzig,0,Red Bull Arena,30-01-2021,21:30 30/01
178,20,Stuttgart,0,Leverkusen,0,BayArena,6/2/2021,6/2/2020 21:30
179,20,Wolfsburg,0,Augsburg,0,Augsburg Arena,6/2/2021,6/2/2020 21:30
180,21,Mainz 05,0,Leverkusen,0,BayArena,13-02-2021,21:30 13/02
181,15,Stuttgart,0,Augsburg,0,Augsburg Arena,10/1/2021,10/1/2020 21:30
182,12,Munich,0,Leverkusen,0,BayArena,5/12/2020,5/12/2020 21:30
183,17,Dortmund,0,Leverkusen,0,BayArena,20-01-2021,21:30 20/01
184,17,Munich,0,Augsburg,0,Augsburg Arena,20-01-2021,21:30 20/01
185,13,Stuttgart,0,Wolfsburg,0,Volkswagen Arena,21-12-2020,00:00 21/12
186,22,Mainz 05,0,Gladbach,0,Borussia-Park,20-02-2021,21:30 20/02
187,24,Augsburg,0,Berlin,0,Olympiastadion Berlin,6/3/2021,6/3/2020 21:30
188,24,Leipzig,0,Freiburg,0,,6/3/2021,6/3/2020 21:30
189,10,Leverkusen,0,Schalke 04,0,Veltins-Arena,7/12/2020,7/12/2020 0:00
190,25,Schalke 04,0,Wolfsburg,0,Volkswagen Arena,13-03-2021,21:30 13/03
191,23,Schalke 04,0,Stuttgart,0,Mercedes-Benz-Arena,27-02-2021,21:30 27/02
